time (seconds),encoderLeft (meters),encoderRight (meters)
0.102,0.002500095870345831,-0.002499680733308196
0.202,0.00250061578117311,-0.002499345922842622
0.3,0.002501049777492881,-0.0025001305621117353
0.402,0.0025002597831189632,-0.002501029521226883
0.502,0.0024990299716591835,-0.00250238343141973
0.602,0.002497791312634945,-0.0025037466548383236
0.702,0.0024965601041913033,-0.00250510242767632
0.802,0.0024953223764896393,-0.002506464021280408
0.902,0.0024940872099250555,-0.0025078223552554846
1.002,0.0024928501807153225,-0.0025091806892305613
1.102,0.002491612918674946,-0.002510541118681431
1.202,0.0024903742596507072,-0.0025119029451161623
1.302,0.002489136066287756,-0.0025132622104138136
1.4020000000000001,0.002487897640094161,-0.0025146212428808212
1.502,0.0024866543244570494,-0.0025159846991300583
1.6019999999999999,0.0024854163639247417,-0.0025173434987664223
1.702,0.0024841949343681335,-0.002518690889701247
1.802,0.002483043586835265,-0.0025199735537171364
1.9020000000000001,0.0024818810634315014,-0.002521265996620059
2.002,0.0024807367008179426,-0.0025225456338375807
2.102,0.0024795755743980408,-0.0025238359812647104
2.202,0.002478403737768531,-0.002525140531361103
2.302,0.002477236557751894,-0.0025264364667236805
2.402,0.0024761005770415068,-0.002527704229578376
2.5,0.002474910579621792,-0.0025290281046181917
2.602,0.0024737378116697073,-0.002530329395085573
2.702,0.002472581574693322,-0.002531618345528841
2.802,0.0024714097380638123,-0.002532918704673648
2.902,0.002470950596034527,-0.0025334316305816174
3.002,0.002470950596034527,-0.0025334316305816174
3.1,0.002470950596034527,-0.0025334316305816174
3.203,0.002470950596034527,-0.0025334316305816174
3.302,0.002471337327733636,-0.0025332875084131956
3.4,0.002495762426406145,-0.0025584904942661524
3.502,0.004991947673261166,-0.005058264825493097
3.602,0.007489806041121483,-0.007559840567409992
3.7,0.009987703524529934,-0.01006144005805254
3.802,0.012485596351325512,-0.012563049793243408
3.902,0.014983457513153553,-0.015064621344208717
4.002,0.017481349408626556,-0.017566226422786713
4.102,0.019979238510131836,-0.02006780169904232
4.202,0.022477103397250175,-0.022569406777620316
4.302,0.024974990636110306,-0.025070980191230774
4.402,0.027472883462905884,-0.02757258526980877
4.502,0.029970742762088776,-0.030074184760451317
4.602,0.032468631863594055,-0.032575756311416626
4.702,0.034966640174388885,-0.03507724404335022
4.802,0.03746454790234566,-0.03757878392934799
4.9,0.03996257483959198,-0.0400802306830883
5.002,0.04246050864458084,-0.04258178547024727
5.1,0.04495851695537567,-0.04508322849869728
5.202,0.04745648428797722,-0.04758471995592117
5.3,0.04995442181825638,-0.05008625611662865
5.402,0.05245241895318031,-0.052587736397981644
5.501,0.05495041608810425,-0.055089209228754044
5.602,0.057448383420705795,-0.05759071931242943
5.7,0.05994635820388794,-0.06009221076965332
5.802,0.0624442920088768,-0.06259371340274811
5.901,0.06494230777025223,-0.06509517133235931
6.002,0.06744026392698288,-0.0675966814160347
6.101,0.06993824988603592,-0.07009819149971008
6.202,0.07243623584508896,-0.07259964197874069
6.302,0.0749342143535614,-0.07510112971067429
6.402,0.07743216305971146,-0.07760264724493027
6.501,0.0799301341176033,-0.08010413497686386
6.602,0.08242813497781754,-0.08260560780763626
6.701,0.08492612838745117,-0.08510706573724747
6.802,0.08742409944534302,-0.08760857582092285
6.902,0.08992205560207367,-0.09011007845401764
7.001,0.09242000430822372,-0.09261158108711243
7.102,0.09491802752017975,-0.09511303156614304
7.201,0.0974159985780716,-0.09761452674865723
7.299,0.09991397708654404,-0.10011602938175201
7.402,0.10241194814443588,-0.10261750966310501
7.502,0.10490992665290833,-0.1051190197467804
7.602,0.10740788280963898,-0.10762052983045578
7.702,0.10990587621927261,-0.11012203246355057
7.802,0.11240383982658386,-0.11262354254722595
7.902,0.11490178853273392,-0.11512501537799835
8.002,0.11739975214004517,-0.11762651801109314
8.102,0.11989777535200119,-0.12012795358896255
8.198,0.12239580601453781,-0.12262942641973495
8.302,0.12489375472068787,-0.12513092160224915
8.402,0.1273917257785797,-0.12763239443302155
8.502,0.12988971173763275,-0.13013388216495514
8.602,0.1323876827955246,-0.13263536989688873
8.702,0.13488568365573883,-0.13513682782649994
8.802,0.13738363981246948,-0.13763834536075592
8.902,0.13988159596920013,-0.1401398479938507
9.002,0.1423795372247696,-0.1426413506269455
9.102,0.14487753808498383,-0.1451427936553955
9.202,0.14737550914287567,-0.1476442962884903
9.305,0.14987342059612274,-0.15014582872390747
9.402,0.15237140655517578,-0.15264733135700226
9.502,0.15486939251422882,-0.15514878928661346
9.602,0.15736731886863708,-0.15765030682086945
9.702,0.1598901003599167,-0.1600775420665741
9.801,0.16488856077194214,-0.1550837904214859
9.902,0.16988731920719147,-0.15008515119552612
